function,description,comment,example
RT_Drivers,"Returns the list of supported GDAL raster drivers and file formats.","","SELECT RT_Drivers();"
RT_Read,"Reads a raster file (or a mosaic of raster files) and returns a table with the raster data. Supports filter pushdown on non-BLOB columns.","","SELECT * FROM RT_Read('path/to/raster/file.tif');"
COPY TO,"Exports the data table to a new raster file.","","COPY ( SELECT geometry, databand_1 FROM RT_Read('path/to/raster/file.tif') ) TO 'path/to/raster/newfile.tif' WITH (FORMAT RASTER, DRIVER 'COG'...);"
RT_Array2Cube,"Transforms an array of numeric values into a databand column (BLOB) with the internal structure required by the raster extension. This is the inverse of RT_Cube2Array.","","SELECT RT_Array2Cube(r.values, 'RAW', r.bands, r.cols, r.rows, r.no_data) FROM ...;"
RT_Cube2Array,"Transforms the BLOB data of the data band columns into an array of a numeric data type. Optionally filters out NoData values from the resulting array. A different function variant is provided for each numeric data type (e.g. RT_Cube2ArrayInt32, RT_Cube2ArrayFloat, etc.).","","SELECT RT_Cube2ArrayInt32(databand_1, true) AS r FROM RT_Read('path/to/raster/file.tif');"
RT_Cube2Type,"Transforms a datacube column to another data type, converting the data buffer accordingly. A different function variant is provided for each numeric data type (e.g. RT_Cube2TypeUInt8, RT_Cube2TypeFloat, etc.).","","SELECT RT_Cube2TypeUInt8((databand_1 * 1000.0) / 1000.0) FROM ..."
RT_CubeAbs,"Returns a data cube with the absolute value of each cell. No-data cells are preserved.","","SELECT RT_CubeAbs(databand_1) FROM ...;"
RT_CubeAdd,"Returns a data cube with each cell equal to the sum of the corresponding cells of the two inputs. Inputs can be two data cubes or a data cube and a scalar. No-data cells are preserved.","","SELECT RT_CubeAdd(databand_1, 10) FROM ...;"
RT_CubeBurn,"Returns a data cube where cells inside the given geometry are replaced by the specified value. Cells outside the geometry are preserved. No-data cells are preserved.","","SELECT RT_CubeBurn(databand_1, tile_x, tile_y, blocksize_x, blocksize_y, geo_transform, ST_GeomFromText('POLYGON((...))'), 255.0) FROM ...;"
RT_CubeClip,"Returns a data cube where cells outside the given geometry are replaced by the specified value. Cells inside the geometry are preserved. No-data cells are preserved.","","SELECT RT_CubeClip(databand_1, tile_x, tile_y, blocksize_x, blocksize_y, geo_transform, ST_GeomFromText('POLYGON((...))'), 0.0) FROM ...;"
RT_CubeDivide,"Returns a data cube with each cell equal to the left-hand cell divided by the right-hand cell. Inputs can be two data cubes or a data cube and a scalar. No-data cells are preserved.","","SELECT RT_CubeDivide(databand_1, 10) FROM ...;"
RT_CubeEqual,"Returns a data cube where each cell is 1 if the corresponding cells of the two inputs are equal, 0 otherwise. Inputs can be two data cubes or a data cube and a scalar. No-data cells are preserved.","","SELECT RT_CubeEqual(databand_1, 10) FROM ...;"
RT_CubeExp,"Returns a data cube with the exponential (e^x) of each cell. No-data cells are preserved.","","SELECT RT_CubeExp(databand_1) FROM ...;"
RT_CubeFill,"Returns a data cube where all cells (including no-data) are unconditionally replaced by the corresponding values of datacube_b or a scalar, bypassing no-data checks.","","SELECT RT_CubeFill(databand_1, 0) FROM ...;"
RT_CubeGreater,"Returns a data cube where each cell is 1 if the left-hand cell is strictly greater than the right-hand cell, 0 otherwise. Inputs can be two data cubes or a data cube and a scalar. No-data cells are preserved.","","SELECT RT_CubeGreater(databand_1, 10) FROM ...;"
RT_CubeGreaterEqual,"Returns a data cube where each cell is 1 if the left-hand cell is greater than or equal to the right-hand cell, 0 otherwise. Inputs can be two data cubes or a data cube and a scalar. No-data cells are preserved.","","SELECT RT_CubeGreaterEqual(databand_1, 10) FROM ...;"
RT_CubeLess,"Returns a data cube where each cell is 1 if the left-hand cell is strictly less than the right-hand cell, 0 otherwise. Inputs can be two data cubes or a data cube and a scalar. No-data cells are preserved.","","SELECT RT_CubeLess(databand_1, 10) FROM ...;"
RT_CubeLessEqual,"Returns a data cube where each cell is 1 if the left-hand cell is less than or equal to the right-hand cell, 0 otherwise. Inputs can be two data cubes or a data cube and a scalar. No-data cells are preserved.","","SELECT RT_CubeLessEqual(databand_1, 10) FROM ...;"
RT_CubeLog,"Returns a data cube with the natural logarithm of each cell. No-data cells are preserved.","","SELECT RT_CubeLog(databand_1) FROM ...;"
RT_CubeMax,"Returns a data cube with each cell equal to the maximum of the corresponding cells of datacube_a and datacube_b or a scalar value. No-data cells are preserved.","","SELECT RT_CubeMax(databand_1, databand_2) FROM ...;"
RT_CubeMin,"Returns a data cube with each cell equal to the minimum of the corresponding cells of datacube_a and datacube_b or a scalar value. No-data cells are preserved.","","SELECT RT_CubeMin(databand_1, databand_2) FROM ...;"
RT_CubeMod,"Returns a data cube with each cell equal to the remainder of dividing the left-hand cell by datacube_b or a scalar value element-wise. No-data cells are preserved.","","SELECT RT_CubeMod(databand_1, 3) FROM ...;"
RT_CubeMultiply,"Returns a data cube with each cell equal to the product of the corresponding cells of the two inputs. Inputs can be two data cubes or a data cube and a scalar. No-data cells are preserved.","","SELECT RT_CubeMultiply(databand_1, 10) FROM ...;"
RT_CubeNeg,"Returns a data cube with each cell negated (multiplied by -1). No-data cells are preserved.","","SELECT RT_CubeNeg(databand_1) FROM ...;"
RT_CubeNotEqual,"Returns a data cube where each cell is 1 if the corresponding cells of the two inputs differ, 0 otherwise. Inputs can be two data cubes or a data cube and a scalar. No-data cells are preserved.","","SELECT RT_CubeNotEqual(databand_1, 10) FROM ...;"
RT_CubePolygonize,"Creates a polygon geometry for each contiguous region of non-no-data values in the data cube.","","SELECT RT_CubePolygonize(databand_1, tile_x, tile_y, blocksize_x, blocksize_y, geo_transform) FROM ...;"
RT_CubePow,"Returns a data cube with each cell raised to the power of the corresponding right-hand cell. Inputs can be two data cubes or a data cube and a scalar. No-data cells are preserved.","","SELECT RT_CubePow(databand_1, 2) FROM ...;"
RT_CubeSet,"Returns a data cube where valid cells are replaced by the corresponding values of datacube_b or a scalar. No-data cells in the source are preserved.","","SELECT RT_CubeSet(databand_1, 0) FROM ...;"
RT_CubeSetNoData,"Returns a data cube where nodata cells are replaced by the specified value, and sets this value as the new nodata sentinel.","","SELECT RT_CubeSetNoData(databand_1, -9999) FROM ..."
RT_CubeSqrt,"Returns a data cube with the square root of each cell. No-data cells are preserved.","","SELECT RT_CubeSqrt(databand_1) FROM ...;"
RT_CubeStats,"Calculates statistics for a specific band (0-based index) of a data cube. Returns a STRUCT with minimum, maximum, mean, stddev, valid_count and nodata_count fields.","","SELECT RT_CubeStats(databand_1, 0) AS stats FROM RT_Read('path/to/raster/file.tif');"
RT_CubeSubtract,"Returns a data cube with each cell equal to the left-hand cell minus the right-hand cell. Inputs can be two data cubes or a data cube and a scalar. No-data cells are preserved.","","SELECT RT_CubeSubtract(databand_1, 10) FROM ...;"
